taxa	Group
A_gull_Massachusetts_13JR00943_2013	KOR-H
A_ruddy_turnstone_New_Jersey_AI12-2544_2012	KOR-H
A_mallard_Missouri_10OS4670_2010	KOR-H
A_green-winged_teal_209_Texas_2009	KOR-H
A_environment_Nebraska_NWRC182951-30_2006	KOR-H
A_green_winged_teal_California_6588_2009	KOR-H
A_mallard_California_6585_2009	KOR-H
A_northern_pintail_California_1865_2009	KOR-H
A_American_wigeon_Mexico-Sonora_769_2008	KOR-H
A_northern_shoveler_California_6535_2009	KOR-H
A_northern_shoveler_California_44363-062_2007	KOR-H
A_thick-billed_murre_Alaska_44085-155_2006	KOR-H
A_thick-billed_murre_Alaska_44145-186_2006	KOR-H
A_environment_California_NWRC186451-18_2007	KOR-H
A_environment_California_NWRC186452-06_2007	KOR-H
A_environment_California_NWRC186452-24_2007	KOR-H
A_environment_California_NWRC186452-18_2007	KOR-H
A_mallard_Maryland_800_2007	KOR-H
A_mallard_Maryland_798_2007	KOR-H
A_mallard_Maryland_07OS832_2007	KOR-H
A_ruddy_turnstone_Delaware_1044_2002	KOR-H
A_shorebird_Delaware_Bay_133_2002	KOR-H
A_ruddy_turnstone_New_Jersey_650599_2002	KOR-H
A_ruddy_turnstone_New_Jersey_650577_2002	KOR-H
A_environment_Oregon_NWRC183791-06_2006	KOR-H
A_northern_shoveler_Washington_44249-604_2006	KOR-H
A_shorebird_Delaware_Bay_277_2000	KOR-H
A_Duck_Hong_Kong_448_1978	KOR-ancestor
A_duck_Hong_Kong_644_1979	KOR-ancestor
A_quail_Hong_Kong_A28945_1988	KOR-outgroup
A_Quail_Hong_Kong_AF157_1992	KOR-outgroup
