taxa	clade
A_chicken_Libya_13VIR7225-5_2013	G1-B
A_chicken_Libya_13VIR7225-2_2013	G1-B
A_greater_flamingo_Tunisia_121_2014	G1-B
A_Flamingo_Tunisia_120_Phoenicopterus_roseus_2015	G1-B
A_chicken_Nabeul_812_2012	G1-B
A_black_winged_stilt_Tunisia_119_2018	G1-B
A_chicken_Tunisia_848_2011	G1-B
A_chicken_Tunisia_345_2011	G1-B
A_chicken_Tunisia_12_2010	G1-B
A_migratory_bird_Tunisia_51_2010	G1-B
A_avian_Libya_RV35D_2006	G1-B
A_chicken_Saudi_Arabia_08vir3489-51-as366_2008	G1
A_chicken_Saudi_Arabia_08vir3489-48-as997_2007	G1
A_chicken_Saudi_Arabia_08vir3489-50-as118_2008	G1
A_avian_Saudi_Arabia_910134_2006	G1
A_ferret_Maryland_P10-UMD_2012	G1
A_chicken_Saudi_Arabia_08vir3489-47-as215_2007	G1
A_avian_Saudi_Arabia_910136_2006	G1
A_chicken_Saudi_Arabia_08vir3489-33-as638_2005	G1
A_falcon_Saudi_Arabia_08vir3489-40-as977_2006	G1
A_chicken_Saudi_Arabia_F-36365_2006	G1
A_chicken_Saudi_Arabia_E-36364_2006	G1
A_chicken_Saudi_Arabia_2BL09_2006	G1
A_chicken_Saudi_Arabia_08vir3489-38-as92_2005	G1
A_chicken_Saudi_Arabia_582_2005	G1
A_avian_Saudi_Arabia_910135_2006	G1
A_chicken_Saudi_Arabia_08vir3489-44-as253_2006	G1
A_quail_United_Arab_Emirates_1819_2006	G1
A_Commercial_Layer_Iran_MMV9-6_2013	G1-C
A_Broiler_Iran_MMV9-4_2013	G1-C
A_chicken_Saudi_Arabia_2525_2000	G1-C
A_chicken_Isfahan_FBM-1_2013	G1-C
A_chicken_Iran_187_2011	G1-C
A_chicken_Iran_SS6_2010	G1-C
A_chicken_Iran_SS7_2011	G1-C
A_chicken_Iran_SS8_2011	G1-C
A_chicken_Iran_N102_2011	G1-C
A_chicken_Iran_N101_2011	G1-C
A_chicken_Iran_AGH-B3_2012	G1-C
A_chicken_Iran_AGH-B1_2012	G1-C
A_chicken_Iran_AGH-B4_2012	G1-C
A_chicken_Iran_AGH-B2_2012	G1-C
A_chicken_Iran_Markazi_2013	G1-C
A_Broiler_Iran_MMV9-7_2012	G1-C
A_chicken_Iran_114_2009	G1-C
A_chicken_Iran_10VIR854-3_2009	G1-C
A_chicken_Iran_113_2009	G1-C
A_chicken_Iran_106_2009	G1-C
A_chicken_Iran_119_2009	G1-C
A_chicken_Iran_95_2009	G1-C
A_Broiler_Iran_MMV9-2_2013	G1-C
A_Broiler_Iran_MMV9-1_2013	G1-C
A_Broiler_Iran_MMV9-3_2013	G1-C
A_Broiler_Iran_MMV9-5_2013	G1-C
A_Commercial_Layer_Iran_MMV9-9_2012	G1-C
A_Broiler_Iran_MMV9-11_2012	G1-C
A_Broiler_Iran_MMV9-8_2012	G1-C
A_Commercial_Layer_Iran_MMV9-10_2012	G1-C
A_chicken_Iran_186_2011	G1-C
A_chicken_Iran_192_2009	G1-C
A_chicken_Afghanistan_329-7vir09-AFG-Heart6_2009	G1-C
A_chicken_Sihala_NARC-12103_2008	G1-C
A_chicken_Pakistan_UDL-01_2008	G1-C
A_chicken_Pakistan_UDL-04_2006	G1
A_chicken_Pakistan_UDL-01_2006	G1
A_chicken_Pakistan_NARC-2434_2006	G1
A_chicken_Pakistan_NARC-1559_2005	G1
A_chicken_Pakistan_NARC-1617_2005	G1
A_chicken_Pakistan_NARC-1541_2005	G1
A_chicken_Pakistan_UDL-02_2006	G1
A_chicken_Pakistan_UDL-04_2007	G1
A_chicken_Pakistan_NARC-1624_2005	G1
A_crow_Tarbela_NARC-05N-696_2005	G1
A_chicken_Faisalabad_NARC-805_2004	G1
A_chicken_Pakistan_UDL-03_2005	G1
A_chicken_Pakistan_UDL-02_2005	G1
A_chicken_Pakistan_UDL-01_2007	G1
A_chicken_Pakistan_UDL-01_2005	G1
A_chicken_Abbottabad_NARC-04N-233_2004	G1
A_chicken_Sihala_NARC-04N-087_2004	G1
A_chicken_Pakistan_47_2003	G1
A_environment_Bangladesh_38157_2019	G1-D
A_chicken_Bangladesh_45776_2020	G1-D
A_chicken_Bangladesh_45690_2020	G1-D
A_environment_Bangladesh_35979_2018	G1-D
A_environment_Bangladesh_38226_2019	G1-D
A_quail_Bangladesh_40420_2019	G1-D
A_chicken_Bangladesh_45767_2020	G1-D
A_chicken_Bangladesh_45697_2020	G1-D
A_chicken_Bangladesh_43448_2020	G1-D
A_chicken_Bangladesh_35960_2018	G1-D
A_chicken_Bangladesh_35970_2018	G1-D
A_environment_Bangladesh_35495_2018	G1-D
A_chicken_Bangladesh_38208_2019	G1-D
A_environment_Bangladesh_40394_2019	G1-D
A_chicken_Bangladesh_41240_2019	G1-D
A_chicken_Bangladesh_45563_2020	G1-D
A_environment_Bangladesh_43468_2020	G1-D
A_chicken_Bangladesh_38150_2019	G1-D
A_duck_Bangladesh_35996_2018	G1-D
A_chicken_Bangladesh_35971_2018	G1-D
A_chicken_Bangladesh_35959_2018	G1-D
A_chicken_Bangladesh_35972_2018	G1-D
A_chicken_Bangladesh_34075_2017	G1-D
A_chicken_Bangladesh_32390_2017	G1-D
A_chicken_Bangladesh_01C225_2017	G1-D
A_avian_Bangladesh_PV427_2016	G1-D
A_chicken_Bangladesh_BM25C339_2016	G1-D
A_quail_Bangladesh_45745_2020	G1-D
A_quail_Bangladesh_45755_2020	G1-D
A_quail_Bangladesh_45741_2020	G1-D
A_duck_Bangladesh_43418_2020	G1-D
A_environment_Bangladesh_43509_2020	G1-D
A_environment_Bangladesh_43514_2020	G1-D
A_chicken_Bangladesh_35646_2018	G1-D
A_chicken_Bangladesh_34322_2017	G1-D
A_environment_Bangladesh_03E42_2017	G1-D
A_chicken_Bangladesh_40926_2019	G1-D
A_environment_Bangladesh_34092_2017	G1-D
A_chicken_Bangladesh_33338_2017	G1-D
A_environment_Bangladesh_41351_2019	G1-D
A_chicken_Bangladesh_40498_2019	G1-D
A_chicken_Bangladesh_36009_2018	G1-D
A_environment_Bangladesh_35588_2018	G1-D
A_environment_Bangladesh_19336_2013	G1-D
A_chicken_Bangladesh_19495_2013	G1-D
A_quail_Bangladesh_337_2013	G1-D
A_environment_Bangladesh_19301_2013	G1-D
A_quail_Bangladesh_24225_2015	G1-D
A_environment_Bangladesh_21045_2013	G1-D
A_avian_Bangladesh_PV305_2016	G1-D
A_avian_Bangladesh_PV304_2016	G1-D
A_chicken_Bangladesh_19870_2013	G1-D
A_poultry_Bangladesh_91311_2012	G1-D
A_chicken_Bangladesh_18408_2012	G1-D
A_chicken_Bangladesh_18224_2012	G1-D
A_chicken_Bangladesh_18276_2012	G1-D
A_poultry_Bangladesh_91354_2012	G1-D
A_Duck_Bangladesh_VP06_2016	G1-D
A_chicken_Bangladesh_21C1067_2016	G1-D
A_environment_Bangladesh_21E35B_2016	G1-D
A_layer_chicken_Bangladesh_VP02-Plaque_purified_H9A_2016	G1-D
A_Layer_chicken_Bangladesh_VP02_2016	G1-D
A_Layer_chicken_Bangladesh_VP04_2016	G1-D
A_avian_Bangladesh_PV724_2016	G1-D
A_avian_Bangladesh_PV715_2016	G1-D
A_chicken_Bangladesh_AR11758_2016	G1-D
A_chicken_Bangladesh_21C1144_2017	G1-D
A_chicken_Bangladesh_26115_2015	G1-D
A_chicken_Bangladesh_26120_2015	G1-D
A_chicken_Bangladesh_26102_2015	G1-D
A_avian_Bangladesh_PV076_2016	G1-D
A_avian_Bangladesh_PV644_2016	G1-D
A_avian_Bangladesh_PV010_2016	G1-D
A_environment_Bangladesh_NRL-AI-979_2016	G1-D
A_chicken_Bangladesh_23740_2014	G1-D
A_avian_Bangladesh_PV828_2016	G1-D
A_avian_Bangladesh_PV684_2016	G1-D
A_avian_Bangladesh_PV865_2016	G1-D
A_chicken_Bangladesh_09C170_2016	G1-D
A_chicken_Bangladesh_40818_2019	G1-D
A_chicken_Bangladesh_40819_2019	G1-D
A_chicken_Bangladesh_35368_2018	G1-D
A_avian_Bangladesh_PV245_2016	G1-D
A_environment_Bangladesh_34573_2018	G1-D
A_environment_Bangladesh_34578_2018	G1-D
A_quail_Bangladesh_35929_2018	G1-D
A_chicken_Bangladesh_40876_2019	G1-D
A_environment_Bangladesh_43464_2020	G1-D
A_chicken_Bangladesh_40960_2019	G1-D
A_environment_Bangladesh_NRL-AI-923_2016	G1-D
A_chicken_Bangladesh_AR11760_2016	G1-D
A_chicken_Bangladesh_23727_2014	G1-D
A_quail_Bangladesh_21483_2013	G1-D
A_chicken_Bangladesh_19565_2013	G1-D
A_chicken_Bangladesh_21554_2013	G1-D
A_avian_Bangladesh_91277_2012	G1-D
A_chicken_Bangladesh_16448_2012	G1-D
A_chicken_Bangladesh_11154_2011	G1-D
A_chicken_Bangladesh_18857_2013	G1-D
A_poultry_Bangladesh_91412_2013	G1-D
A_avian_Bangladesh_91256_2012	G1-D
A_poultry_Bangladesh_91353_2012	G1-D
A_environment_Bangladesh_12103_2011	G1-D
A_environment_Bangladesh_12093_2011	G1-D
A_environment_Bangladesh_11597_2011	G1-D
A_chicken_Bangladesh_10401_2011	G1-D
A_avian_Bangladesh_PV679_2016	G1-D
A_environment_Bangladesh_NRL-AI-1088_2016	G1-D
A_chicken_Bangladesh_30457_2016	G1-D
A_chicken_Bangladesh_25945_2015	G1-D
A_chicken_Bangladesh_25946_2015	G1-D
A_chicken_Bangladesh_24947_2015	G1-D
A_chicken_Bangladesh_23426_2014	G1-D
A_avian_Bangladesh_PV342_2016	G1-D
A_environment_Bangladesh_NRL-AI-1087_2016	G1-D
A_chicken_Bangladesh_35732_2018	G1-D
A_chicken_Bangladesh_35407_2018	G1-D
A_chicken_Bangladesh_30030_2016	G1-D
A_environment_Bangladesh_23641_2014	G1-D
A_environment_Bangladesh_23571_2014	G1-D
A_quail_Bangladesh_21247_2013	G1-D
A_avian_Bangladesh_PV064_2016	G1-D
A_chicken_Bangladesh_23618_2014	G1-D
A_avian_Bangladesh_PV857_2016	G1-D
A_duck_Bangladesh_21126_2013	G1-D
A_avian_Bangladesh_91286_2012	G1-D
A_poultry_Bangladesh_91349_2012	G1-D
A_chicken_Bangladesh_13962_2011	G1-D
A_environment_Bangladesh_11173_2011	G1-D
A_environment_Bangladesh_10234_2011	G1-D
A_quail_Bangladesh_25987_2015	G1-D
A_chicken_Bangladesh_11rs1984-38_2011	G1-D
A_chicken_Bangladesh_10897_2011	G1-D
A_environment_Bangladesh_12068_2011	G1-D
A_chicken_Bangladesh_18549_2012	G1-D
A_environment_Bangladesh_10306_2011	G1-D
A_environment_Bangladesh_10313_2011	G1-D
A_environment_Bangladesh_10316_2011	G1-D
A_environment_Bangladesh_10307_2011	G1-D
A_chicken_Bangladesh_8996_2010	G1-D
A_chicken_Bangladesh_35417_2018	G1-D
A_chicken_Bangladesh_35278_2018	G1-D
A_chicken_Bangladesh_33645_2017	G1-D
A_chicken_Bangladesh_40618_2019	G1-D
A_environment_Bangladesh_34270_2017	G1-D
A_chicken_Bangladesh_34321_2017	G1-D
A_chicken_Bangladesh_31975_2017	G1-D
A_chicken_Bangladesh_32754_2017	G1-D
A_chicken_Bangladesh_34626_2018	G1-D
A_environment_Bangladesh_01E45_2017	G1-D
A_chicken_Bangladesh_34637_2018	G1-D
A_chicken_Bangladesh_33649_2017	G1-D
A_chicken_Bangladesh_32287_2017	G1-D
A_chicken_Bangladesh_NRL-AI-3238_2017	G1-D
A_duck_Bangladesh_32503_2017	G1-D
A_chicken_Bangladesh_33107_2017	G1-D
A_chicken_Bangladesh_31974_2017	G1-D
A_chicken_Bangladesh_31066_2016	G1-D
A_chicken_Bangladesh_30861_2016	G1-D
A_avian_Bangladesh_PV871_2016	G1-D
A_environment_Bangladesh_NRL-AI-893_2016	G1-D
A_chicken_Bangladesh_27871_2015	G1-D
A_environment_Bangladesh_14E35_2016	G1-D
A_chicken_Bangladesh_34004_2017	G1-D
A_chicken_Bangladesh_40619_2019	G1-D
A_duck_Bangladesh_33351_2017	G1-D
A_avian_Bangladesh_PV052_2016	G1-D
A_chicken_Bangladesh_30461_2016	G1-D
A_environment_Bangladesh_NRL-AI-1398_2016	G1-D
A_environment_Bangladesh_NRL-AI-1072_2016	G1-D
A_environment_Bangladesh_NRL-AI-1406_2016	G1-D
A_chicken_Bangladesh_31624_2016	G1-D
A_environment_Bangladesh_22E38_2016	G1-D
A_chicken_Bangladesh_22C519_2016	G1-D
A_environment_Bangladesh_NRL-AI-921_2016	G1-D
A_chicken_Bangladesh_28182_2016	G1-D
A_environment_Bangladesh_19E38_2016	G1-D
A_environment_Bangladesh_24969_2015	G1-D
A_avian_Bangladesh_PV112_2016	G1-D
A_environment_Bangladesh_10E41_2017	G1-D
A_environment_Bangladesh_19E46_2017	G1-D
A_quail_Bangladesh_32525_2017	G1-D
A_chicken_Bangladesh_33386_2017	G1-D
A_chicken_Bangladesh_34642_2018	G1-D
A_chicken_Bangladesh_32957_2017	G1-D
A_chicken_Bangladesh_32958_2017	G1-D
A_quail_Bangladesh_32935_2017	G1-D
A_chicken_Bangladesh_32041_2017	G1-D
A_environment_Bangladesh_NRL-AI-1418_2016	G1-D
A_chicken_Bangladesh_31267_2016	G1-D
A_environment_Bangladesh_NRL-AI-1117_2016	G1-D
A_environment_Bangladesh_24205_2015	G1-D
A_quail_Bangladesh_40847_2019	G1-D
A_quail_Bangladesh_41265_2019	G1-D
A_environment_Bangladesh_NRL-AI-1106_2016	G1-D
A_avian_Bangladesh_PV079_2016	G1-D
A_environment_Bangladesh_25969_2015	G1-D
A_avian_Bangladesh_PV269_2016	G1-D
A_Layer_chicken_Bangladesh_VP05_2016	G1-D
A_environment_Bangladesh_NRL-AI-933_2016	G1-D
A_avian_Bangladesh_PV109_2016	G1-D
A_avian_Bangladesh_PV025_2016	G1-D
A_avian_Bangladesh_PV030_2016	G1-D
A_chicken_Bangladesh_24249_2015	G1-D
A_chicken_Bangladesh_OP-4_2013	G1-D
A_environment_Bangladesh_OE-09_2013	G1-D
A_chicken_Bangladesh_29588_2016	G1-D
A_quail_Bangladesh_35241_2018	G1-D
A_quail_Bangladesh_35454_2018	G1-D
A_environment_Bangladesh_35631_2018	G1-D
A_quail_Bangladesh_34615_2018	G1-D
A_duck_Bangladesh_34286_2017	G1-D
A_quail_Bangladesh_33163_2017	G1-D
A_quail_Bangladesh_32270_2017	G1-D
A_quail_Bangladesh_30835_2016	G1-D
A_quail_Bangladesh_31244_2016	G1-D
A_quail_Bangladesh_32020_2017	G1-D
A_quail_Bangladesh_31043_2016	G1-D
A_quail_Bangladesh_30637_2016	G1-D
A_quail_Bangladesh_29997_2016	G1-D
A_avian_Bangladesh_PV013_2016	G1-D
A_quail_Bangladesh_27835_2015	G1-D
A_quail_Bangladesh_29564_2016	G1-D
A_environment_Bangladesh_26218_2015	G1-D
A_quail_Bangladesh_28122_2016	G1-D
A_quail_Bangladesh_24922_2015	G1-D
A_quail_Bangladesh_24007_2014	G1-D
A_quail_Bangladesh_24008_2014	G1-D
A_chicken_Bangladesh_3C-44_2014	G1-D
A_environment_Bangladesh_26032_2015	G1-D
A_chicken_Bangladesh_AR11787_2016	G1-D
A_chicken_Bangladesh_AR11749_2016	G1-D
A_chicken_Bangladesh_13VIR5602-3_2013	G1-D
A_quail_Bangladesh_20177_2013	G1-D
A_environment_Bangladesh_20199_2013	G1-D
A_quail_Bangladesh_19462_2013	G1-D
A_environment_Bangladesh_19842_2013	G1-D
A_environment_Bangladesh_18846_2013	G1-D
A_environment_Bangladesh_18849_2013	G1-D
A_quail_Bangladesh_18521_2012	G1-D
A_quail_Bangladesh_18514_2012	G1-D
A_quail_Bangladesh_18210_2012	G1-D
A_environment_Bangladesh_18530_2012	G1-D
A_chicken_Bangladesh_10450_2011	G1-D
A_environment_Bangladesh_12077_2011	G1-D
A_chicken_Bangladesh_11309_2011	G1-D
A_avian_Bangladesh_PV038_2016	G1-D
A_chicken_Bangladesh_26223_2015	G1-D
A_chicken_Bangladesh_23527_2014	G1-D
A_chicken_Bangladesh_23529_2014	G1-D
A_chicken_Bangladesh_20205_2013	G1-D
A_chicken_Bangladesh_19145_2013	G1-D
A_chicken_Bangladesh_18460_2012	G1-D
A_chicken_Bangladesh_9334_2010	G1-D
A_environment_Bangladesh_9350_2010	G1-D
A_environment_Bangladesh_9306_2010	G1-D
A_chicken_Bangladesh_8725_2010	G1-D
A_chicken_Bangladesh_8411_2010	G1-D
A_environment_Bangladesh_100_2010	G1-D
A_chicken_Bangladesh_9029_2010	G1-D
A_environment_Bangladesh_9457_2010	G1-D
A_environment_Bangladesh_124_2010	G1-D
A_Bangladesh_0994_2011	G1-D
A_environment_Bangladesh_8463_2010	G1-D
A_environment_Bangladesh_8465_2010	G1-D
A_chicken_Bangladesh_8413_2010	G1-D
A_chicken_Joydebpur_2_2010	G1-D
A_chicken_Bhaluka_1_2010	G1-D
A_avian_Bangladesh_91254_2012	G1-D
A_environment_Bangladesh_8202_2010	G1-D
A_chicken_Tripura_105131_2008	G1-D
A_pigeon_Bangladesh_4303_2009	G1-D
A_environment_Bangladesh_5144_2009	G1-D
A_duck_Bangladesh_1009_2009	G1-D
A_environment_Bangladesh_5745_2010	G1-D
A_chicken_Bangladesh_5209_2009	G1-D
A_chicken_Bangladesh_2075_2009	G1-D
A_environment_Bangladesh_907_2009	G1-D
A_duck_Bangladesh_1231_2009	G1-D
A_environment_Bangladesh_155_2010	G1-D
A_chicken_Trisal_3_2010	G1-D
A_chicken_Bangladesh_13916_2011	G1-D
A_environment_Bangladesh_177_2010	G1-D
A_chicken_Kuwait_9_2004	G1-D
A_chicken_Coxs_Bazar_1_2009	G1-D
A_chicken_Bangladesh_627_2007	G1-D
A_chicken_Bangladesh_AR2108-13_2006	G1-D
A_Poultry_India_202_SP_MP_2020_2020	G1-E
A_CHICKEN_India_121SG_2019	G1-E
A_POULTRY_India_5_BH_2019_2019	G1-E
A_POULTRY_India_152_PANNA_2019	G1-E
A_Poultry_India_121_SAT_MP_2020_2020	G1-E
A_Poultry_India_13_D_MP_2019_2019	G1-E
A_POULTRY_India_101_ANUPPUR_2020	G1-E
A_chicken_India_AR119_2018	G1
A_chicken_India_IVRI-0004_2010	G1
A_chicken_Uchal_8293_2006	G1
A_chicken_Uchal_8286_2006	G1
A_chicken_Gujarat_3697_2004	G1
A_chicken_Chandigarh_2048_2003	G1
A_chicken_India_3_2003	G1
A_chicken_India_80998_2008	G1
A_chicken_India_82588_2008	G1
A_chicken_India_82565_2008	G1
A_chicken_Uttar_Pradesh_2544_2004	G1
A_watercoot_Haryana_5844_2005	G1
A_chicken_Haryana_2424_2004	G1
A_chicken_Orissa_2317_2004	G1
A_chicken_India_12CL103075_2015	G1-F
A_chicken_India_01CL103080_2016	G1-F
A_India_TCM2581_2019	G1-F
A_chicken_India_AR117_2018	G1-F
A_chicken_India_99321_2009	G1-F
A_chicken_Bangladesh_FDIL_M_112_2007	G1
A_chicken_Gujarat_3724_2004	G1
A_chicken_Haryana_2051_2003	G1
A_chicken_Uttar_Pradesh_2543_2004	G1
A_chicken_Punjab_2063_2003	G1
A_chicken_Pakistan_UVAS26_2019	G1-G
A_chicken_Pakistan_046CP_2019	G1-G
A_chicken_Pakistan_041CP_2020	G1-G
A_chicken_Pakistan_061CP_2020	G1-G
A_chicken_Pakistan_201_2017	G1-G
A_Aves_Pakistan_332_2018	G1-G
A_chicken_Pakistan_103_2016	G1-G
A_chicken_Pakistan_302_2018	G1-G
A_chicken_Pakistan_301_2018	G1-G
A_chicken_Pakistan_303_2018	G1-G
A_chicken_Pakistan_101_2016	G1-G
A_chicken_Pakistan_304_2018	G1-G
A_chicken_Pakistan_1108CF_2016	G1-G
A_Black_swan_Pakistan_238_2016	G1-G
A_Avian_Pakistan_403_2015	G1-G
A_Avian_Pakistan_191_2015	G1-G
A_Avian_Pakistan_409_2015	G1-G
A_Pakistan_486_2015	G1-G
A_Avian_Pakistan_202_2015	G1-G
A_Duck_Pakistan_245_2016	G1-G
A_partridge_Pakistan_260_2015	G1-G
A_Avian_Pakistan_975_2016	G1-G
A_Avian_Pakistan_19_2015	G1-G
A_Avian_Pakistan_34_2015	G1-G
A_Avian_Pakistan_982_2016	G1-G
A_Avian_Pakistan_30_2015	G1-G
A_chicken_Pakistan_10A_2015	G1-G
A_chicken_Pakistan_740CF_2015	G1-G
A_Avian_Pakistan_37_2015	G1-G
A_Aves_Pakistan_321_2018	G1-G
A_chicken_Pakistan_UDL_105_2020	G1-G
A_Aves_Pakistan_334_2018	G1-G
A_chicken_Pakistan_062BYP_2020	G1-G
A_chicken_Pakistan_238_2017	G1-G
A_chicken_Pakistan_237_2017	G1-G
A_chicken_Pakistan_104_2016	G1-G
A_goose_Pakistan_SLK2_2017	G1-G
A_Duck_Pakistan_SLK1_2017	G1-G
A_Avian_Pakistan_845_2016	G1-G
A_Avian_Pakistan_977_2015	G1-G
A_Avian_Pakistan_908_2016	G1-G
A_chicken_Iran_UT-Barin_2017	G1-G
A_chicken_Tehran_FBM-3_2014	G1-G
A_chicken_Kasoor_SI36_2017	G1-G
A_Avian_Pakistan_66_2015	G1-G
A_Avian_Pakistan_441_2015	G1-G
A_Avian_Pakistan_189_2015	G1-G
A_Avian_Pakistan_411_2015	G1-G
A_Avian_Pakistan_151_2015	G1-G
A_Aves_Pakistan_310_2018	G1-G
A_Avian_Pakistan_978_2015	G1-G
A_Avian_Pakistan_40_2015	G1-G
A_chicken_Pakistan_SHK2_2017	G1-G
A_Avian_Pakistan_987_2016	G1-G
A_Avian_Pakistan_973_2015	G1-G
A_Avian_Pakistan_998_2015	G1-G
A_chicken_Pakistan_660BYP_2015	G1-G
A_Pheasant_Pakistan_236_2016	G1-G
A_Peacock_Pakistan_243_2016	G1-G
A_Avian_Pakistan_572_2015	G1-G
A_Avian_Pakistan_825_2016	G1-G
A_Peacock_Pakistan_233_2016	G1-G
A_Avian_Pakistan_827_2016	G1-G
A_Peacock_Pakistan_237_2016	G1-G
A_Pheasant_Pakistan_235_2016	G1-G
A_Avian_Pakistan_986_2015	G1-G
A_chicken_Pakistan_KSR2_2017	G1-G
A_Avian_Pakistan_976_2015	G1-G
A_Avian_Pakistan_984_2015	G1-G
A_Avian_Pakistan_803_2015	G1-G
A_chicken_Pakistan_KSR1_2017	G1-G
A_chicken_Pakistan_PATH-III_2019	G1-G
A_Duck_Pakistan_246_2016	G1-G
A_chicken_Pakistan_SHK1_2017	G1-G
A_Avian_Pakistan_835_2016	G1-G
A_Avian_Pakistan_996_2015	G1-G
A_Avian_Pakistan_951_2016	G1-G
A_Peacock_Pakistan_34_2016	G1-G
A_Avian_Pakistan_974_2015	G1-G
A_Avian_Pakistan_981_2015	G1-G
A_chicken_Pakistan_GUJ_2017	G1-G
A_Avian_Pakistan_994_2015	G1-G
A_Avian_Pakistan_995_2015	G1-G
A_Avian_Pakistan_971_2015	G1-G
A_Avian_Pakistan_980_2016	G1-G
A_Avian_Pakistan_979_2015	G1-G
A_Avian_Pakistan_632_2015	G1-G
A_chicken_Mazandaran_RIV-7_2018	G1-G
A_chicken_Yazd_RIV-6_2018	G1-G
A_chicken_Markazi_RIV-3_2017	G1-G
A_chicken_Yazd_RIV-2_2017	G1-G
A_chicken_Alborz_FBM-4_2017	G1-G
A_chicken_Mazandaran_RIV-8_2018	G1-G
A_chicken_Mazandaran_RIV-5_2017	G1-G
A_chicken_Mazandaran_RIV-9_2018	G1-G
A_chicken_Mazandaran_RIV-4_2017	G1-G
A_chicken_Iran_1_2018	G1-G
A_chicken_Kermanshah_RIV-10_2018	G1-G
A_chicken_Hamadan_RIV-1_2017	G1-G
A_chicken_Iraq_3_2016	G1-G
A_Avian_Pakistan_22_2014	G1-G
A_chicken_Pakistan_540CF_2015	G1-G
A_Avian_Pakistan_412_2015	G1-G
A_Avian_Pakistan_405_2015	G1-G
A_chicken_Attock_NARC-14994_2009	G1-G
A_chicken_Iran_Markazi_2014	G1-G
A_chicken_Pakistan_26A_2012	G1-G
A_chicken_Pakistan_291-266_2010	G1-G
A_chicken_Pakistan_285-63_2010	G1-G
A_chicken_Pakistan_286-65_2010	G1-G
A_chicken_Pakistan_288-102_2010	G1-G
A_chicken_Pakistan_287-98_2010	G1-G
A_chicken_Pakistan_294-199_2010	G1-G
A_chicken_Pakistan_284-48_2010	G1-G
A_chicken_Pakistan_283-11_2010	G1-G
A_chicken_Pakistan_UDL-03_2008	G1-G
A_chicken_Pakistan_CP_2010	G1-G
A_chicken_Iran_189_2011	G1-G
A_chicken_Afghanistan_329-2vir09-AFG-Khost1_2008	G1-G
A_chicken_Afghanistan_329-5vir09-AFG-Khost4_2008	G1-G
A_chicken_Afghanistan_329-3vir09-AFG-Khost2_2008	G1-G
A_chicken_Afghanistan_329-4vir09-AFG-Khost3_2008	G1-G
A_chicken_Afghanistan_329-6vir09-AFG-Khost9_2008	G1-G
A_chicken_Pakistan_289-186_2010	G1-G
A_chicken_Pakistan_290-230_2010	G1-G
A_chicken_Nepal_6cl_2010	G1-H
A_chicken_Nepal_5cl_2010	G1-H
A_chicken_Nepal_5430_2011	G1-H
A_chicken_India_09CL1359_2013	G1-H
A_chicken_India_01CL1619_2012	G1-H
A_chicken_India_01CL1826_2012	G1-H
A_chicken_India_WB-NIV1057231_2010	G1-H
A_chicken_India_WB-NIV1057169_2010	G1-H
A_chicken_India_WB-NIV1057183_2010	G1-H
A_chicken_Nepal_2490_2009	G1-H
A_chicken_India_IVRI-0011_2011	G1-H
A_chicken_Iran_THLBM868_2007	G1
A_chicken_Iran_THLBM867_2007	G1
A_chicken_Iran_THLBM861_2007	G1
A_Chicken_Iran_TH386_2007	G1
A_chicken_Iran_THLBM862_2007	G1
A_chicken_Iran_THLBM865_2007	G1
A_chicken_Iran_THLBM863_2007	G1
A_chicken_Iran_THLBM866_2007	G1
A_Chicken_Iran_TH286_2007	G1
A_Chicken_Iran_TH186_2007	G1
A_chicken_Iran_10VIR854-5_2008	G1
A_chicken_Iran_TH85_2007	G1
A_chicken_Iran_TH486-masoumi_2007	G1
A_chicken_Iran_RZ28_2008	G1
A_chicken_Iran_RZ42_2008	G1
A_chicken_Iran_RZ36_2008	G1
A_chicken_Iran_RZ37_2008	G1
A_houbara_United_Arab_Emirates_78_2006	G1
A_chicken_Iran_RZ53_2008	G1
A_chicken_Iran_133_2004	G1
A_chicken_Iran_B102_2005	G1
A_chicken_Iran_20_2006	G1
A_chicken_Iran_L248_2003	G1
A_chicken_Iran_B11A_2005	G1
A_chicken_Iran_B99_2005	G1
A_chicken_Iran_SH2_2007	G1
A_chicken_Iran_68_2006	G1
A_chicken_Iran_B326_2005	G1
A_chicken_Iran_B76_2004	G1
A_chicken_Iran_725_1998	G1
A_chicken_Iran_10VIR854-4_2009	G1
A_chicken_Kurdistan_4693-9_2009	G1
A_chicken_Iraq_EKI_14_2008	G1
A_chicken_Iran_320_2003	G1
A_chicken_Iran_B308B_2004	G1
A_chicken_G-Karachi_2003	G1
A_poultry_United_Arab_Emirates_1831_2005	G1
A_egret_Tarbela_NARC-05N-694_2005	G1
A_falcon_United_Arab_Emirates_897_2007	G1-I
A_quail_United_Arab_Emirates_D1556_2011	G1-I
A_quail_United_Arab_Emirates_1136_2005	G1-I
A_white_bellied_bustard_United_Arab_Emirates_1127_1_2005	G1-I
A_stone_curlew_United_Arab_Emirates_1127_3_2005	G1-I
A_white_bellied_bustard_United_Arab_Emirates_1036_2005	G1-I
A_white_bellied_bustard_United_Arab_Emirates_1019_2005	G1-I
A_stone_curlew_United_Arab_Emirates_1147_2005	G1-I
A_white_bellied_bustard_United_Arab_Emirates_997_2005	G1-I
